7403.15,7448.85,7322.55,7343.3,7411.25
7411.25,7457.7,7315.6,7377.55,7413.9
7413.9,7521.4,7375.9,7495.95,7513.45
7513.45,7557.65,7406.4,7423.2,7351.5
7351.5,7393.3,7272.2,7295.75,7277.4
7277.4,7277.4,7163.2,7202.5,7218.45
7218.45,7219.65,6908,6949.45,7003.1
7003.1,7136.85,6859.4,7074.5,7127.55
7127.55,7403.65,7127.55,7391.15,7435.75
7435.75,7446.25,7238.4,7248.7,7254.95
7254.95,7338.25,7147.3,7320.9,7398.45
7398.45,7438,7266.6,7373.4,7346.75
7346.75,7464,7316.7,7441.5,7447.95
7447.95,7499,7433.6,7464.8,7500.95
7500.95,7500.95,7337.1,7351.6,7318.95
7318.95,7328.85,7241.95,7261.15,7286.1
7286.1,7291.8,7159.35,7175.75,7248.8
7248.8,7271.4,7124.75,7164.85,7174.5
7174.5,7204.9,6983.75,7092.3,7096.95
7096.95,7403.9,7096.95,7396.05,7494.8
7494.8,7547.4,7416.85,7435.15,7510.55
7510.55,7587.55,7485.4,7580.3,7604.05
7604.05,7616.2,7551.2,7591.75,7614.45
7614.45,7670.4,7552.75,7596.65,7556.3
7556.3,7704.6,7540.25,7689.8,7719.05
7719.05,7748.55,7653.1,7688.3,7680.45
7680.45,7751.15,7668.5,7723.55,7791.7
7791.7,7831.55,7758.45,7777.15,7790.45
7790.45,7803.3,7703.2,7711.1,7696.7
7696.7,7702.35,7596.3,7671.7,7742.5
7742.5,7770.9,7639.15,7662.6,7681.6
7681.6,7774.45,7663.4,7767.1,7785.35
7785.35,7876.5,7767.4,7867.6,7882.6
7882.6,7964.5,7854.75,7947.15,7964.6
7964.6,8004.05,7932.3,7990.75,8010.55
8010.55,8010.55,7846.45,7876.7,7880.95
7880.95,8011.6,7876.9,7955,8031.7
8031.7,8096.85,8014.25,8084,8086.4
8086.4,8125.5,8037.7,8087.6,8073.65
8073.65,8073.65,8002.6,8030.05,8093.1
8093.1,8137.85,8069.25,8124.55,8092.35
8092.35,8095.7,7868,7883.1,7902.35
7902.35,7954.6,7891.65,7919.95,7918.75
7918.75,7921.5,7810.3,7834.6,7830.8
